# ----------------------------------------
# Demographic details: Country
# Account: sendearndirect
# Property: SellEarnDirect
# ----------------------------------------
# 
# All Users
# Start date: 20251213
# End date: 20260109
Country,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
India,461,460,230,0.37520391517128876,0.49891540130151846,147.2060737527115,6819,0,0,0
Germany,58,58,33,0.5689655172413793,0.5689655172413793,15.741379310344827,256,0,0,0
(not set),42,42,2,0.047619047619047616,0.047619047619047616,1.2142857142857142,133,0,0,0
United States,23,23,7,0.30434782608695654,0.30434782608695654,14.91304347826087,92,0,0,0
China,4,4,1,0.25,0.25,12,18,0,0,0
South Korea,4,4,0,0,0,0,12,0,0,0
Pakistan,3,3,3,1,1,58.333333333333336,38,0,0,0
Canada,1,1,0,0,0,0,3,0,0,0
Indonesia,1,1,0,0,0,0,3,0,0,0
Kuwait,1,1,0,0,0,0,3,0,0,0
Philippines,1,1,1,1,1,20,10,0,0,0
Singapore,1,1,0,0,0,0,3,0,0,0
United Kingdom,1,1,0,0,0,1,4,0,0,0
