# ----------------------------------------
# Pages and screens: Page title and screen class
# Account: sendearndirect
# Property: SellEarnDirect
# ----------------------------------------
# 
# All Users
# Start date: 20251213
# End date: 20260109
Page title and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Create & Sell Digital Products Online | SellEarnDirect,3349,526,6.366920152091255,112.79277566539923,6822,0,0
Blog - Sell Earn Direct | Learn How to Sell Digital Products Online,56,26,2.1538461538461537,40.61538461538461,81,0,0
Documentation - Sell Earn Direct | Complete Guide & Tutorials,29,9,3.2222222222222223,53.333333333333336,52,0,0
Contact Us | SellEarnDirect,28,19,1.4736842105263157,5.7368421052631575,68,0,0
About Us | SellEarnDirect,26,18,1.4444444444444444,6.555555555555555,51,0,0
Pricing - Sell Earn Direct | Affordable Plans for Every Creator,22,21,1.0476190476190477,0.5238095238095238,59,0,0
Privacy Policy | SellEarnDirect,10,10,1,1.6,31,0,0
(not set),9,18,0.5,442.44444444444446,118,0,0
Terms of Service | SellEarnDirect,8,8,1,3.625,27,0,0
Product - Sell Earn Direct | Sales Funnel Builder Features,5,4,1.25,12.25,14,0,0
Features - Sell Earn Direct | Complete Sales Funnel Platform,4,4,1,7.75,13,0,0
Getting Started Articles - Sell Earn Direct Blog,3,2,1.5,2,5,0,0
How to Use Sell Earn Direct Platform: Complete Beginner's Guide | Sell Earn Direct Blog,3,3,1,8,5,0,0
How to Become a Millionaire Selling Digital Products Online | Sell Earn Direct Blog,2,1,2,3,2,0,0
Product Download Links: Set Up Secure Download Delivery | Sell Earn Direct Blog,2,2,1,1.5,5,0,0
Sales Strategy Articles - Sell Earn Direct Blog,2,1,2,2,5,0,0
Subscription Best Practices: Build Successful Subscription Business | Sell Earn Direct Blog,2,1,2,3,4,0,0
404: This page could not be found.,1,1,1,0,2,0,0
API Settings Configuration: Set Up API Access | Sell Earn Direct Blog,1,1,1,1,4,0,0
Analytics Cohort Analysis: Understand Customer Cohorts | Sell Earn Direct Blog,1,1,1,12,1,0,0
Analytics Metrics Explained: What Each Metric Means | Sell Earn Direct Blog,1,1,1,6,2,0,0
Best Sales Funnel Online: Top Strategies That Convert | Sell Earn Direct Blog,1,1,1,3,1,0,0
Conversion Optimization Articles - Sell Earn Direct Blog,1,1,1,4,1,0,0
Creating Your First Funnel - Sell Earn Direct | Step-by-Step Guide,1,1,1,2,1,0,0
Customizing Your Funnel - Sell Earn Direct | Design & Content Guide,1,1,1,9,1,0,0
Discount Settings Management: Create and Manage Discounts | Sell Earn Direct Blog,1,1,1,1,1,0,0
Funnel Optimization: Improve Every Step | Sell Earn Direct Blog,1,1,1,8,1,0,0
How to Get Testimonials and Use Social Proof Effectively | Sell Earn Direct Blog,1,1,1,3,1,0,0
How to Identify and Reach Your Target Audience | Sell Earn Direct Blog,1,1,1,20,2,0,0
How to Lower Customer Acquisition Cost for Digital Products | Sell Earn Direct Blog,1,1,1,4,2,0,0
How to Sell My Course Online: Complete Guide for Course Creators | Sell Earn Direct Blog,1,1,1,4,2,0,0
Mobile Optimization: Make Your Sales Funnel Mobile-Friendly | Sell Earn Direct Blog,1,1,1,10,1,0,0
Product Management Articles - Sell Earn Direct Blog,1,1,1,4,1,0,0
Subscription Analytics Tracking: Monitor Subscription Metrics | Sell Earn Direct Blog,1,1,1,16,3,0,0
Subscription Management Articles - Sell Earn Direct Blog,1,1,1,7,1,0,0
Subscription Model: Build Recurring Revenue | Sell Earn Direct Blog,1,1,1,65,1,0,0
Upsell and Downsell Strategies That Work | Sell Earn Direct Blog,1,1,1,1,2,0,0
Webinar Marketing: Convert Viewers to Customers | Sell Earn Direct Blog,1,1,1,2,1,0,0
