Location Name,Impressions
Andaman and Nicobar Islands,4
Andhra Pradesh,221
Arunachal Pradesh,0
Assam,368
Bihar,"1,439"
Chandigarh,52
Chhattisgarh,56
Dadra and Nagar Haveli and Daman and Diu,1
Delhi,132
Goa,11
Gujarat,785
Haryana,236
Himachal Pradesh,59
India,0
Jammu and Kashmir,184
Jharkhand,59
Karnataka,156
Kerala,471
Madhya Pradesh,413
Maharashtra,609
Manipur,18
Meghalaya,15
Mizoram,25
Nagaland,7
Odisha,353
Puducherry,2
Punjab,310
Rajasthan,732
Sikkim,1
Tamil Nadu,493
Telangana,383
Tripura,79
Uttar Pradesh,"1,532"
Uttarakhand,58
West Bengal,720
